speaker_prompt_audio_filename,speaker,speaker_prompt_text_transcription,content_to_synthesize,output_audio_filename
speaker001,speaker001,二話不說，拉住他的手往回走。,關上客廳的燈。,speaker001_C2_21
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳的燈光關上。,speaker001_C2_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓客廳的燈光關上。,speaker001_C2_23
speaker001,speaker001,二話不說，拉住他的手往回走。,客廳的燈光關上。,speaker001_C2_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈打開。,speaker001_C3_0
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟臥室的燈。,speaker001_C3_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈點亮。,speaker001_C3_2
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮臥室的燈。,speaker001_C3_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈亮起來。,speaker001_C3_4
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟臥室的燈光。,speaker001_C3_5
speaker001,speaker001,二話不說，拉住他的手往回走。,打開臥室的燈。,speaker001_C3_6
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光亮起來。,speaker001_C3_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光點亮。,speaker001_C3_8
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈光打開。,speaker001_C3_9
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈亮起來。,speaker001_C3_10
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈光開啟。,speaker001_C3_11
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光亮起。,speaker001_C3_12
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈開啟。,speaker001_C3_13
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟臥室的電燈。,speaker001_C3_14
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光開啟。,speaker001_C3_15
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈光亮起來。,speaker001_C3_16
speaker001,speaker001,二話不說，拉住他的手往回走。,開臥室的燈。,speaker001_C3_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光打開。,speaker001_C3_18
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮臥室的燈光。,speaker001_C3_19
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈打開。,speaker001_C3_20
speaker001,speaker001,二話不說，拉住他的手往回走。,開起臥室的燈。,speaker001_C3_21
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈光點亮。,speaker001_C3_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈亮起。,speaker001_C3_23
speaker001,speaker001,二話不說，拉住他的手往回走。,打開臥室的燈光。,speaker001_C3_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈關掉。,speaker001_C4_0
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉臥室的燈。,speaker001_C4_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈關上。,speaker001_C4_2
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉臥室的電燈。,speaker001_C4_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的電燈關閉。,speaker001_C4_4
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈光關閉。,speaker001_C4_5
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈關掉。,speaker001_C4_6
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈光關掉。,speaker001_C4_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光關閉。,speaker001_C4_8
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈關掉。,speaker001_C4_9
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉臥室的燈光。,speaker001_C4_10
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈光關掉。,speaker001_C4_11
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈光熄掉。,speaker001_C4_12
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉臥室的燈光。,speaker001_C4_13
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈關上。,speaker001_C4_14
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈熄掉。,speaker001_C4_15
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉臥室的電燈。,speaker001_C4_16
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉臥室的燈。,speaker001_C4_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光熄掉。,speaker001_C4_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈關上。,speaker001_C4_19
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈光關閉。,speaker001_C4_20
speaker001,speaker001,二話不說，拉住他的手往回走。,關上臥室的燈。,speaker001_C4_21
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的燈光關上。,speaker001_C4_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的燈光關上。,speaker001_C4_23
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的燈光關上。,speaker001_C4_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈打開。,speaker001_C5_0
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟餐廳的燈。,speaker001_C5_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈點亮。,speaker001_C5_2
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮餐廳的燈。,speaker001_C5_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈亮起來。,speaker001_C5_4
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟餐廳的燈光。,speaker001_C5_5
speaker001,speaker001,二話不說，拉住他的手往回走。,打開餐廳的燈。,speaker001_C5_6
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光亮起來。,speaker001_C5_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光點亮。,speaker001_C5_8
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈光打開。,speaker001_C5_9
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈亮起來。,speaker001_C5_10
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈光開啟。,speaker001_C5_11
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光亮起。,speaker001_C5_12
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈開啟。,speaker001_C5_13
speaker001,speaker001,二話不說，拉住他的手往回走。,打亮餐廳的燈。,speaker001_C5_14
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光開啟。,speaker001_C5_15
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈光亮起來。,speaker001_C5_16
speaker001,speaker001,二話不說，拉住他的手往回走。,開餐廳的燈。,speaker001_C5_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光打開。,speaker001_C5_18
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮餐廳的燈光。,speaker001_C5_19
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈打開。,speaker001_C5_20
speaker001,speaker001,二話不說，拉住他的手往回走。,開起餐廳的燈。,speaker001_C5_21
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈光點亮。,speaker001_C5_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光亮著。,speaker001_C5_23
speaker001,speaker001,二話不說，拉住他的手往回走。,打開餐廳的燈光。,speaker001_C5_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈關掉。,speaker001_C6_0
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉餐廳的燈。,speaker001_C6_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈關上。,speaker001_C6_2
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉餐廳的電燈。,speaker001_C6_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的電燈關閉。,speaker001_C6_4
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈光關閉。,speaker001_C6_5
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈關掉。,speaker001_C6_6
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈光關掉。,speaker001_C6_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光關閉。,speaker001_C6_8
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈關掉。,speaker001_C6_9
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉餐廳的燈光。,speaker001_C6_10
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈光關掉。,speaker001_C6_11
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈光熄掉。,speaker001_C6_12
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉餐廳的燈光。,speaker001_C6_13
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈關上。,speaker001_C6_14
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈熄掉。,speaker001_C6_15
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉餐廳的電燈。,speaker001_C6_16
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉餐廳的燈。,speaker001_C6_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光熄掉。,speaker001_C6_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈關上。,speaker001_C6_19
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈光關閉。,speaker001_C6_20
speaker001,speaker001,二話不說，拉住他的手往回走。,關上餐廳的燈。,speaker001_C6_21
speaker001,speaker001,二話不說，拉住他的手往回走。,把餐廳的燈光關上。,speaker001_C6_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓餐廳的燈光關上。,speaker001_C6_23
speaker001,speaker001,二話不說，拉住他的手往回走。,餐廳的燈光關上。,speaker001_C6_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈打開。,speaker001_C7_0
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟書房的燈。,speaker001_C7_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈點亮。,speaker001_C7_2
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮書房的燈。,speaker001_C7_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈亮起來。,speaker001_C7_4
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟書房的電燈。,speaker001_C7_5
speaker001,speaker001,二話不說，拉住他的手往回走。,打開書房的燈。,speaker001_C7_6
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈光亮起來。,speaker001_C7_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈點亮。,speaker001_C7_8
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈光打開。,speaker001_C7_9
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈亮起來。,speaker001_C7_10
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的電燈打開。,speaker001_C7_11
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的電燈亮起來。,speaker001_C7_12
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈光開啟。,speaker001_C7_13
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈點亮。,speaker001_C7_14
speaker001,speaker001,二話不說，拉住他的手往回走。,打開書房的電燈。,speaker001_C7_15
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的電燈點亮。,speaker001_C7_16
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈打開。,speaker001_C7_17
speaker001,speaker001,二話不說，拉住他的手往回走。,開書房的電燈。,speaker001_C7_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的電燈開啟。,speaker001_C7_19
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮書房的電燈。,speaker001_C7_20
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的電燈亮起來。,speaker001_C7_21
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈光打開。,speaker001_C7_22
speaker001,speaker001,二話不說，拉住他的手往回走。,開起書房的電燈。,speaker001_C7_23
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈光點亮  。,speaker001_C7_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈關掉。,speaker001_C8_0
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉書房的燈。,speaker001_C8_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈關上。,speaker001_C8_2
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉書房的電燈。,speaker001_C8_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的電燈關閉。,speaker001_C8_4
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈光關閉。,speaker001_C8_5
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈關掉。,speaker001_C8_6
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈光關掉。,speaker001_C8_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈光關閉。,speaker001_C8_8
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈關掉。,speaker001_C8_9
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉書房的燈光。,speaker001_C8_10
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈光關掉。,speaker001_C8_11
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈光熄掉。,speaker001_C8_12
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉書房的燈光。,speaker001_C8_13
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈關上。,speaker001_C8_14
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈熄掉。,speaker001_C8_15
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉書房的電燈。,speaker001_C8_16
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉書房的燈。,speaker001_C8_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈光熄掉。,speaker001_C8_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈關上。,speaker001_C8_19
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈光關閉。,speaker001_C8_20
speaker001,speaker001,二話不說，拉住他的手往回走。,關上書房的燈。,speaker001_C8_21
speaker001,speaker001,二話不說，拉住他的手往回走。,把書房的燈光關上。,speaker001_C8_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓書房的燈光關上。,speaker001_C8_23
speaker001,speaker001,二話不說，拉住他的手往回走。,書房的燈光關上。,speaker001_C8_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈打開。,speaker001_C9_0
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟廚房的燈。,speaker001_C9_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光打開。,speaker001_C9_2
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈亮起來。,speaker001_C9_3
speaker001,speaker001,二話不說，拉住他的手往回走。,打開廚房的燈。,speaker001_C9_4
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈亮起來。,speaker001_C9_5
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮廚房的燈。,speaker001_C9_6
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光亮起來。,speaker001_C9_7
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈點亮。,speaker001_C9_8
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光亮起來。,speaker001_C9_9
speaker001,speaker001,二話不說，拉住他的手往回走。,開廚房的燈。,speaker001_C9_10
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光打開。,speaker001_C9_11
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光點亮。,speaker001_C9_12
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光開啟。,speaker001_C9_13
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光打開。,speaker001_C9_14
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光點亮。,speaker001_C9_15
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟廚房的燈光。,speaker001_C9_16
speaker001,speaker001,二話不說，拉住他的手往回走。,打開廚房的燈光。,speaker001_C9_17
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光點亮。,speaker001_C9_18
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光亮起來。,speaker001_C9_19
speaker001,speaker001,二話不說，拉住他的手往回走。,開起廚房的燈。,speaker001_C9_20
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光開啟。,speaker001_C9_21
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光亮起來。,speaker001_C9_22
speaker001,speaker001,二話不說，拉住他的手往回走。,打亮廚房的燈。,speaker001_C9_23
speaker001,speaker001,二話不說，拉住他的手往回走。,打開廚房的電燈。,speaker001_C9_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈關掉。,speaker001_C10_0
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉廚房的燈。,speaker001_C10_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈關上。,speaker001_C10_2
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉廚房的電燈。,speaker001_C10_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的電燈關閉。,speaker001_C10_4
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光關閉。,speaker001_C10_5
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈關掉。,speaker001_C10_6
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光關掉。,speaker001_C10_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光關閉。,speaker001_C10_8
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈關掉。,speaker001_C10_9
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉廚房的燈光。,speaker001_C10_10
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光關掉。,speaker001_C10_11
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光熄掉。,speaker001_C10_12
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉廚房的燈光。,speaker001_C10_13
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈關上。,speaker001_C10_14
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈熄掉。,speaker001_C10_15
speaker001,speaker001,二話不說，拉住他的手往回走。,關閉廚房的電燈。,speaker001_C10_16
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉廚房的燈。,speaker001_C10_17
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光熄掉。,speaker001_C10_18
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈關上。,speaker001_C10_19
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光關閉。,speaker001_C10_20
speaker001,speaker001,二話不說，拉住他的手往回走。,關上廚房的燈。,speaker001_C10_21
speaker001,speaker001,二話不說，拉住他的手往回走。,把廚房的燈光關上。,speaker001_C10_22
speaker001,speaker001,二話不說，拉住他的手往回走。,讓廚房的燈光關上。,speaker001_C10_23
speaker001,speaker001,二話不說，拉住他的手往回走。,廚房的燈光關上。,speaker001_C10_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈打開。,speaker001_C11_0
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟臥室的桌燈。,speaker001_C11_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈點亮。,speaker001_C11_2
speaker001,speaker001,二話不說，拉住他的手往回走。,點亮臥室的桌燈。,speaker001_C11_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈亮起來。,speaker001_C11_4
speaker001,speaker001,二話不說，拉住他的手往回走。,開臥室的桌燈。,speaker001_C11_5
speaker001,speaker001,二話不說，拉住他的手往回走。,打開臥室的桌燈。,speaker001_C11_6
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈亮起來。,speaker001_C11_7
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室桌上的燈打開。,speaker001_C11_8
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌上的燈亮起來。,speaker001_C11_9
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈點起來。,speaker001_C11_10
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌上的燈打開。,speaker001_C11_11
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌燈點亮。,speaker001_C11_12
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌燈光打開。,speaker001_C11_13
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈打開。,speaker001_C11_14
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈亮起。,speaker001_C11_15
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈打開來。,speaker001_C11_16
speaker001,speaker001,二話不說，拉住他的手往回走。,打開臥室的桌上的燈。,speaker001_C11_17
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈開啟。,speaker001_C11_18
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌燈亮起來。,speaker001_C11_19
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌燈開啟。,speaker001_C11_20
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌上的燈開起來。,speaker001_C11_21
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟臥室的桌燈光。,speaker001_C11_22
speaker001,speaker001,二話不說，拉住他的手往回走。,開啟臥室桌上的燈。,speaker001_C11_23
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌燈光點亮。,speaker001_C11_24
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈關起來。,speaker001_C12_0
speaker001,speaker001,二話不說，拉住他的手往回走。,關臥室的桌燈。,speaker001_C12_1
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈關上。,speaker001_C12_2
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉臥室的桌燈。,speaker001_C12_3
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈關閉。,speaker001_C12_4
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈關閉。,speaker001_C12_5
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌燈關掉。,speaker001_C12_6
speaker001,speaker001,二話不說，拉住他的手往回走。,把臥室的桌燈關掉。,speaker001_C12_7
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌上的燈關閉。,speaker001_C12_8
speaker001,speaker001,二話不說，拉住他的手往回走。,讓臥室的桌燈關掉。,speaker001_C12_9
speaker001,speaker001,二話不說，拉住他的手往回走。,關掉臥室的桌上的燈。,speaker001_C12_10
speaker001,speaker001,二話不說，拉住他的手往回走。,臥室的桌上的燈關掉。,speaker001_C12_11
